model,parameter_value,q,w_q,k,omega_re,omega_im,A,B,delta_f_r0,I_rho,local_combo,direct_A,direct_B,abs_A_error,abs_B_error
Bardeen,0.8,0.8,,,0.8519123972042478,-0.0893823750078754,0.10666666666666669,-0.07111111111111112,0.07111111111111112,0.008488263631567754,0.001571900672512547,0.10666666666666669,-0.07111111111111112,0.0,0.0
Hayward,0.0,0.0,,,0.769800358919501,-0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Hayward,0.03333333333333333,0.03333333333333333,,,0.7698014148870717,-0.096224780873045,1.3717421125658547e-06,-2.743484225020687e-06,9.144947417105698e-07,1.0915976893108744e-07,3.638658964271416e-08,1.3717421124828533e-06,-2.7434842249657065e-06,8.300139377615933e-17,5.498048508980301e-17
Hayward,0.06666666666666667,0.06666666666666667,,,0.7698088066600653,-0.09622293292979656,1.0973936899860703e-05,-2.194787379983243e-05,7.315957933240469e-06,8.732781513956903e-07,2.910927171328784e-07,1.0973936899862826e-05,-2.1947873799725652e-05,2.1226645658192766e-18,1.067769733308771e-16
Hayward,0.1,0.1,,,0.7698288700439055,-0.09621791708383652,3.703703703705763e-05,-7.407407407411526e-05,2.4691358024705085e-05,2.9473137609626636e-06,9.824379203208879e-07,3.703703703703704e-05,-7.407407407407409e-05,2.0586288750068515e-17,4.117257750013703e-17
Hayward,0.13333333333333333,0.13333333333333333,,,0.7698679408440152,-0.09620814938380909,8.779149519888563e-05,-0.00017558299039777125,5.852766346592375e-05,6.986225211165522e-06,2.3287417370551744e-06,8.779149519890261e-05,-0.00017558299039780522,1.6981316526554213e-17,3.3962633053108426e-17
Hayward,0.16666666666666666,0.16666666666666666,,,0.7699323548658178,-0.09619204587835843,0.00017146776406029574,-0.0003429355281207025,0.00011431184270686381,1.3644971115555453e-05,4.548323705186132e-06,0.0001714677640603566,-0.0003429355281207132,6.087795198506107e-17,1.0733601507606494e-17
Hayward,0.2,0.2,,,0.7700284479147365,-0.09616802261612878,0.000296296296296239,-0.000592592592592589,0.00019753086419749266,2.357851008768364e-05,7.859503362562195e-06,0.00029629629629629635,-0.0005925925925925927,5.735429492448318e-17,3.686287386450715e-18
Hayward,0.23333333333333334,0.23333333333333334,,,0.7701625557961943,-0.09613449564576432,0.00047050754458166644,-0.0009410150891632219,0.0003136716963877776,3.744180074110126e-05,1.2480600247032774e-05,0.0004705075445816187,-0.0009410150891632374,4.775910569798647e-17,1.5504091066542713e-17
Hayward,0.26666666666666666,0.26666666666666666,,,0.7703410143156146,-0.09608988101590925,0.0007023319615913071,-0.001404663923182392,0.000468221307727538,5.588980168934185e-05,1.862993389644532e-05,0.0007023319615912209,-0.0014046639231824417,8.61940727125976e-17,4.96564594998361e-17
Hayward,0.3,0.3,,,0.7705701592784204,-0.09603259477520776,0.0009999999999998899,-0.0020000000000000018,0.0006666666666665932,7.957747154593891e-05,2.6525823848648265e-05,0.0009999999999999998,-0.0019999999999999996,1.0993810029003015e-16,2.168404344971009e-18
Hayward,0.3333333333333333,0.3333333333333333,,,0.7708563264900353,-0.09596105297230406,0.00137174211248281,-0.00274348422496562,0.0009144947416552066,0.00010915976892447896,3.638658964149299e-05,0.001371742112482853,-0.002743484224965706,4.2934406030425976e-17,8.586881206085195e-17
Hayward,0.36666666666666664,0.36666666666666664,,,0.7712058517558821,-0.09587367165584235,0.0018257887517145743,-0.0036515775034293707,0.0012171925011430496,0.00014529165243847787,4.8430550812827914e-05,0.0018257887517146771,-0.0036515775034293542,1.0278236595162582e-16,1.6479873021779667e-17
Hayward,0.4,0.4,,,0.7716250708813843,-0.09576886687446681,0.002370370370370356,-0.004740740740740823,0.0015802469135802373,0.00018862808070150444,6.287602690050247e-05,0.0023703703703703708,-0.0047407407407407415,1.474514954580286e-17,8.153200337090993e-17
Hayward,0.43333333333333335,0.43333333333333335,,,0.7721203196719649,-0.09564505467682168,0.003013717421124884,-0.006027434842249546,0.0020091449474165892,0.00023982401232709225,7.994133744236212e-05,0.003013717421124829,-0.006027434842249658,5.5077470362263625e-17,1.1188966420050406e-16
