w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.043478260869565216,0.1,2.6823794012060818,0.21099816923647613,0.20559651721900063,0.018548079506600867,0.013146374198993283,0.8439926769459045,-0.10279825860950031,0.07419231802640347,-0.006573187099496641
0.08695652173913043,0.0,3.000000001112835,0.19245008972987526,0.19245014302000735,0.0,0.0,0.769800358919501,-0.09622507151000367,0.0,0.0
0.08695652173913043,0.004347826086956522,2.986470004984848,0.19317041215577813,0.1929715406052585,0.000720322425902864,0.0005213975852511599,0.7726816486231125,-0.09648577030262925,0.002881289703611456,-0.00026069879262557993
0.08695652173913043,0.008695652173913044,2.972884025300415,0.19389995231857754,0.19349974079613536,0.0014498625887022776,0.0010495977761280084,0.7755998092743102,-0.09674987039806768,0.00579945035480911,-0.0005247988880640042
0.08695652173913043,0.013043478260869566,2.9592415637652305,0.19463889976862855,0.19403488546468398,0.0021888100387532916,0.001584742444676629,0.7785555990745142,-0.09701744273234199,0.008755240155013166,-0.0007923712223383145
0.08695652173913043,0.017391304347826087,2.945542115201989,0.19538744940008565,0.194577120088809,0.0029373596702103877,0.002126977068801661,0.7815497976003426,-0.0972885600444045,0.01174943868084155,-0.0010634885344008305
0.08695652173913043,0.021739130434782608,2.9317851674383273,0.19614580164228784,0.1951265947591921,0.0036957119124125803,0.0026764517391847653,0.7845832065691514,-0.09756329737959606,0.014782847649650321,-0.0013382258695923827
0.08695652173913043,0.026086956521739132,2.917970201150829,0.1969141626594653,0.19568346316327442,0.0044640729295900294,0.0032333201432670766,0.7876566506378612,-0.09784173158163721,0.017856291718360118,-0.0016166600716335383
0.08695652173913043,0.030434782608695653,2.9040966897512757,0.19769274455919475,0.19624788401543666,0.0052426548293194875,0.003797740995429316,0.790770978236779,-0.09812394200771833,0.02097061931727795,-0.001898870497714658
0.08695652173913043,0.034782608695652174,2.890164099234931,0.19848176561005432,0.19682002075499846,0.006031675880179055,0.004369877734991118,0.7939270624402173,-0.09841001037749923,0.02412670352071622,-0.002184938867495559
0.08695652173913043,0.0391304347826087,2.8761718880471308,0.1992814504689561,0.19740004125657756,0.006831360739080833,0.004949898236570216,0.7971258018758244,-0.09870002062828878,0.02732544295632333,-0.002474949118285108
0.08695652173913043,0.043478260869565216,2.8621195069238916,0.2000920304186644,0.197988118525375,0.0076419406887891506,0.005537975505367665,0.8003681216746577,-0.0989940592626875,0.030567762755156602,-0.0027689877526838325
0.08695652173913043,0.04782608695652174,2.8480063987660116,0.20091374361603603,0.19858443079141094,0.008463653886160771,0.006134287771403596,0.8036549744641441,-0.09929221539570547,0.033854615544643085,-0.003067143885701798
0.08695652173913043,0.052173913043478265,2.8338319984635447,0.20174683535155388,0.19918916164850792,0.00929674562167862,0.00673901862850057,0.8069873414062155,-0.09959458082425396,0.03718698248671448,-0.003369509314250285
0.08695652173913043,0.05652173913043478,2.8195957327547103,0.20259155832075873,0.19980250031849964,0.010141468590883468,0.00735235729849229,0.8103662332830349,-0.09990125015924982,0.04056587436353387,-0.003676178649246145
0.08695652173913043,0.06086956521739131,2.805297020052452,0.20344817290822206,0.2004246417418256,0.010998083178346801,0.00797449872181824,0.8137926916328883,-0.1002123208709128,0.043992332713387206,-0.00398724936090912
0.08695652173913043,0.06521739130434782,2.7909352702995784,0.20431694748474255,0.2010557867311514,0.011866857754867288,0.008605643711144056,0.8172677899389702,-0.1005278933655757,0.04746743101946915,-0.004302821855572028
0.08695652173913043,0.06956521739130435,2.7765098847804093,0.20519815871849226,0.20169614277926406,0.012748068988616995,0.009245999759256718,0.820792634873969,-0.10084807138963203,0.05099227595446798,-0.004622999879628359
0.08695652173913043,0.07391304347826087,2.7620202559579887,0.20609209190088346,0.2023459233936365,0.013642002171008194,0.009895780373629148,0.8243683676035338,-0.10117296169681825,0.054568008684032776,-0.004947890186814574
0.08695652173913043,0.0782608695652174,2.7474657672998237,0.20699904128797778,0.2030053492312113,0.014548951558102513,0.010555206211203955,0.8279961651519111,-0.10150267461560565,0.05819580623241005,-0.005277603105601977
0.08695652173913043,0.08260869565217391,2.732845793088546,0.20791931045831,0.2036746476197191,0.015469220728434735,0.011224504599711749,0.83167724183324,-0.10183732380985955,0.06187688291373894,-0.005612252299855874
0.08695652173913043,0.08695652173913043,2.718159698242625,0.20885321268805795,0.20435405364117062,0.016403122958182692,0.011903910621163277,0.8354128507522318,-0.10217702682058531,0.06561249183273077,-0.005951955310581639
0.08695652173913043,0.09130434782608696,2.7034068381228953,0.2098010713445489,0.20504380967900518,0.017350981614673633,0.012593666658997832,0.8392042853781956,-0.10252190483950259,0.06940392645869453,-0.006296833329498916
0.08695652173913043,0.09565217391304348,2.688586558334771,0.2107632202991583,0.20574416596944725,0.018313130569283048,0.013294022949439904,0.8430528811966332,-0.10287208298472363,0.07325252227713219,-0.006647011474719952
0.08695652173913043,0.1,2.6736981945362595,0.2117400043607289,0.20645538131711771,0.01928991463085364,0.014005238297110367,0.8469600174429156,-0.10322769065855886,0.07715965852341455,-0.007002619148555184
0.13043478260869565,0.0,3.000000001112835,0.19245008972987526,0.19245014302000735,0.0,0.0,0.769800358919501,-0.09622507151000367,0.0,0.0
0.13043478260869565,0.004347826086956522,2.9861051759123867,0.19319612347756102,0.19300231085013134,0.0007460337476857537,0.0005521678301239896,0.7727844939102441,-0.09650115542506567,0.002984134990743015,-0.0002760839150619948
0.13043478260869565,0.008695652173913044,2.972154333953962,0.193951833494136,0.1935617760833884,0.0015017437642607379,0.0011116330633810512,0.775807333976544,-0.0967808880416942,0.006006975057042951,-0.0005558165316905256
0.13043478260869565,0.013043478260869566,2.9581469904108717,0.19471742062870964,0.1941286915547789,0.00226733089883438,0.0016785485347715623,0.7788696825148386,-0.09706434577738945,0.00906932359533752,-0.0008392742673857811
0.13043478260869565,0.017391304347826087,2.944082653951211,0.19549309143539595,0.19470321510253005,0.003043001705520687,0.0022530720825227057,0.7819723657415838,-0.09735160755126503,0.012172006822082748,-0.0011265360412613529
0.13043478260869565,0.021739130434782608,2.9299608266334243,0.1962790583789709,0.19528550860966776,0.0038289686490956265,0.00283536558966041,0.7851162335158836,-0.09764275430483388,0.015315874596382506,-0.001417682794830205
0.13043478260869565,0.026086956521739132,2.9157810037684184,0.19707554004952627,0.19587573891114438,0.004625450319651003,0.0034255958911370288,0.7883021601981051,-0.09793786945557219,0.018501801278604013,-0.0017127979455685144
0.13043478260869565,0.030434782608695653,2.9015426738139007,0.19788276138658284,0.19647407763055535,0.005432671656707577,0.004023934610548008,0.7915310455463314,-0.09823703881527768,0.02173068662683031,-0.002011967305274004
0.13043478260869565,0.034782608695652174,2.8872453182269027,0.19870095391315343,0.19708070166679736,0.006250864183278165,0.004630558646790017,0.7948038156526137,-0.09854035083339868,0.02500345673311266,-0.0023152793233950086
