w_q,k,f_r0,Omega_star,lambda_star,deltaOmega_over_Omega0,deltaLambda_over_lambda0,omega_re,omega_im,delta_omega_re,delta_omega_im
-0.9012345679012346,-0.006666666666666668,0.3766626649417084,0.20495819036382623,0.20662822483347126,0.06499399741256262,0.07367175106801227,0.8198327614553049,-0.10331411241673563,0.05003240253580388,-0.007089067551798001
-0.9012345679012346,-0.005185185185185187,0.36703392458429174,0.20217861244517044,0.20347752814378325,0.050550886876437495,0.057300250830676136,0.8087144497806817,-0.10173876407189163,0.038914090861180695,-0.005513719206953996
-0.9012345679012346,-0.0037037037037037056,0.35740518422687506,0.1993990345265147,0.20032683145409524,0.03610777634031259,0.04092875059334,0.7975961381060588,-0.10016341572704762,0.027795779186557734,-0.003938370862109991
-0.9012345679012346,-0.0022222222222222227,0.3477764438694584,0.1966194566078589,0.19717613476440726,0.021664665804187466,0.02455725035600409,0.7864778264314356,-0.09858806738220363,0.01667746751193455,-0.002363022517266
-0.9012345679012346,-0.0007407407407407432,0.3381477035120417,0.19383987868920316,0.19402543807471925,0.007221555268062563,0.008185750118667956,0.7753595147568126,-0.09701271903735963,0.005559155837311591,-0.0007876741724219954
-0.9012345679012346,0.0007407407407407397,0.32851896315462503,0.1910603007705474,0.19087474138503127,-0.007221555268062452,-0.008185750118667956,0.7642412030821896,-0.09543737069251564,-0.00555915583731148,0.0007876741724219954
-0.9012345679012346,0.002222222222222219,0.31889022279720836,0.18828072285189162,0.1877240446953433,-0.021664665804187466,-0.02455725035600398,0.7531228914075665,-0.09386202234767164,-0.01667746751193455,0.0023630225172659863
-0.9012345679012346,0.003703703703703702,0.3092614824397917,0.18550114493323586,0.18457334800565528,-0.03610777634031248,-0.04092875059334011,0.7420045797329434,-0.09228667400282764,-0.027795779186557623,0.003938370862109991
-0.9012345679012346,0.005185185185185185,0.299632742082375,0.1827215670145801,0.18142265131596727,-0.050550886876437495,-0.057300250830676136,0.7308862680583204,-0.09071132565798364,-0.038914090861180695,0.005513719206953996
-0.9012345679012346,0.0066666666666666645,0.2900040017249583,0.17994198909592432,0.1782719546262793,-0.06499399741256251,-0.07367175106801216,0.7197679563836973,-0.08913597731313964,-0.050032402535803766,0.007089067551797987
-0.9012345679012346,0.008148148148148147,0.28037526136754165,0.17716241117726855,0.1751212579365913,-0.07943710794868752,-0.09004325130534818,0.7086496447090742,-0.08756062896829565,-0.06115071421042684,0.008664415896641978
-0.9012345679012346,0.009629629629629627,0.270746521010125,0.17438283325861278,0.1719705612469033,-0.09388021848481254,-0.1064147515426842,0.6975313330344511,-0.08598528062345165,-0.07226902588504991,0.010239764241485982
